emergency_type,emergency_severity,population_affected,emergency_duration,resource_type,daily_consumption,days_since_emergency,previous_demand,current_inventory,future_requirement
DROUGHT,CRITICAL,1645,36,HYGIENE_KITS,29.59,22,724.9,367,436.4
EPIDEMIC,MEDIUM,2900,18,CLOTHING,40.93,5,187.2,283,508.4
FIRE,HIGH,10375,34,CLOTHING,168.76,3,648.9,2811,5260.0
DROUGHT,CRITICAL,15068,41,FIRST_AID_KITS,111.19,8,756.6,3829,3812.4
LANDSLIDE,CRITICAL,17108,24,BABY_SUPPLIES,139.89,8,894.5,1192,2600.0
CYCLONE,MEDIUM,19901,44,FOOD,12260.2,13,191890.3,423267,442878.5
EPIDEMIC,HIGH,1136,24,BLANKETS,30.77,15,445.8,124,253.4
DROUGHT,MEDIUM,3884,38,BLANKETS,83.0,11,762.4,850,1965.0
DROUGHT,CRITICAL,19348,24,FIRST_AID_KITS,128.27,15,2491.1,824,1051.0
EPIDEMIC,HIGH,11883,7,HYGIENE_KITS,166.65,1,163.0,742,929.9
LANDSLIDE,CRITICAL,6995,29,BABY_SUPPLIES,62.3,3,147.8,1337,1668.9
FLOOD,HIGH,14329,39,MEDICINE,258.62,7,1577.4,4856,9460.9
FLOOD,CRITICAL,15317,45,BABY_SUPPLIES,123.13,21,2117.5,3101,3570.4
EARTHQUAKE,HIGH,8512,18,BABY_SUPPLIES,55.63,9,548.3,269,576.3
CYCLONE,HIGH,8588,26,FOOD,8827.34,3,22657.2,151575,253112.4
CYCLONE,MEDIUM,10318,21,MEDICINE,105.94,7,599.8,1325,1882.8
LANDSLIDE,LOW,7143,38,FIRST_AID_KITS,35.25,24,730.7,231,465.3
CYCLONE,MEDIUM,5379,23,CLOTHING,58.46,7,306.6,886,1079.7
LANDSLIDE,CRITICAL,1984,5,WATER,11767.04,3,29687.1,22559,27915.4
EPIDEMIC,MEDIUM,524,28,FOOD,398.98,10,3310.2,5177,6788.4
LANDSLIDE,CRITICAL,8497,26,MEDICINE,183.27,0,194.6,2162,4359.5
EARTHQUAKE,MEDIUM,11306,25,BABY_SUPPLIES,82.32,5,358.9,912,2146.1
EPIDEMIC,MEDIUM,16558,8,HYGIENE_KITS,195.47,4,959.7,411,613.8
CYCLONE,HIGH,16640,31,HYGIENE_KITS,258.25,23,5251.3,2268,2375.0
EPIDEMIC,LOW,300,20,FOOD,175.72,17,2990.2,487,481.0
DROUGHT,HIGH,10903,19,CLOTHING,141.11,4,499.5,930,1989.9
FLOOD,CRITICAL,4635,27,BLANKETS,168.39,14,2620.7,2361,2747.5
DROUGHT,HIGH,10001,5,HYGIENE_KITS,173.62,1,141.3,454,593.3
EARTHQUAKE,MEDIUM,15351,11,FOOD,12781.51,4,63270.6,102089,116737.3
EARTHQUAKE,LOW,13880,37,BLANKETS,342.78,28,10327.2,4112,3819.3
DROUGHT,MEDIUM,19858,43,BLANKETS,479.5,26,10872.0,7889,8108.8
LANDSLIDE,HIGH,5055,32,FIRST_AID_KITS,28.18,14,472.3,335,505.9
FIRE,HIGH,5610,24,FIRST_AID_KITS,36.17,9,386.4,352,545.9
CYCLONE,MEDIUM,11343,41,MEDICINE,128.45,6,810.1,2945,5743.7
DROUGHT,HIGH,7568,43,FOOD,7003.91,2,12341.9,146096,295790.0
EPIDEMIC,HIGH,5839,44,CLOTHING,100.26,36,3021.3,492,685.6
FLOOD,HIGH,19812,12,BLANKETS,505.58,9,4123.4,918,1800.0
CYCLONE,MEDIUM,1535,28,MEDICINE,18.16,4,87.6,250,489.1
FLOOD,MEDIUM,10153,26,FOOD,6740.97,19,123702.1,26286,55447.7
FLOOD,MEDIUM,9325,11,MEDICINE,100.69,5,522.5,505,733.0
FLOOD,LOW,10165,18,CLOTHING,104.34,0,96.0,1480,2067.8
DROUGHT,HIGH,8451,22,BLANKETS,249.88,17,5125.8,1089,1133.3
FLOOD,MEDIUM,8100,37,BABY_SUPPLIES,56.71,16,1097.2,769,1553.2
CYCLONE,MEDIUM,5414,32,WATER,23762.25,12,304385.1,573772,567461.0
EARTHQUAKE,MEDIUM,1007,6,MEDICINE,12.78,5,53.3,13,17.0
EARTHQUAKE,CRITICAL,9249,21,FIRST_AID_KITS,58.98,15,800.5,515,492.5
FLOOD,HIGH,9189,38,BLANKETS,322.69,22,7968.3,4346,5822.1
DROUGHT,HIGH,17996,43,BABY_SUPPLIES,117.03,3,281.2,2117,4428.0
EPIDEMIC,MEDIUM,4336,6,FOOD,3585.44,4,10416.6,4471,7561.5
FLOOD,CRITICAL,741,29,MEDICINE,13.66,9,132.6,172,303.1
FLOOD,CRITICAL,19818,33,BABY_SUPPLIES,169.88,13,2087.2,2706,4023.3
EPIDEMIC,MEDIUM,6579,30,FIRST_AID_KITS,36.12,14,451.5,318,556.2
FIRE,MEDIUM,6244,6,HYGIENE_KITS,76.36,3,246.1,240,245.6
FIRE,HIGH,18553,23,FIRST_AID_KITS,131.26,9,1110.4,1904,1919.5
FLOOD,MEDIUM,15176,23,FOOD,10785.5,16,191391.7,66807,95000.1
EARTHQUAKE,HIGH,18543,19,CLOTHING,275.01,1,227.9,6288,6199.6
EPIDEMIC,HIGH,6258,28,BABY_SUPPLIES,42.95,8,268.9,493,841.1
EPIDEMIC,HIGH,17891,6,FIRST_AID_KITS,89.7,0,75.5,493,524.2
FLOOD,CRITICAL,19058,32,FOOD,20333.33,27,493484.1,51890,101989.9
EARTHQUAKE,HIGH,10213,6,BLANKETS,330.18,3,1022.5,1208,1327.9
FLOOD,MEDIUM,6043,34,FOOD,4175.53,1,4418.1,102118,154288.2
EPIDEMIC,HIGH,1177,42,BLANKETS,29.82,14,431.1,605,738.2
EARTHQUAKE,LOW,4082,10,BABY_SUPPLIES,17.93,7,108.5,60,79.0
CYCLONE,LOW,14824,36,CLOTHING,174.21,10,1309.8,2723,5709.0
CYCLONE,HIGH,18565,39,CLOTHING,295.67,2,572.6,12312,14809.1
FLOOD,CRITICAL,15316,42,MEDICINE,261.58,27,7761.5,3471,4325.1
FLOOD,CRITICAL,9212,41,BLANKETS,384.86,13,3563.0,9715,13116.1
EARTHQUAKE,HIGH,367,45,FOOD,291.1,19,5632.0,9744,9557.8
FIRE,LOW,5246,10,MEDICINE,64.46,0,83.4,365,609.1
DROUGHT,MEDIUM,5500,33,WATER,19586.26,1,22827.8,606277,615751.8
CYCLONE,HIGH,15128,21,FIRST_AID_KITS,83.54,12,1183.3,467,968.1
FLOOD,HIGH,14864,45,CLOTHING,185.21,12,2529.0,6693,6745.8
EARTHQUAKE,HIGH,3911,19,MEDICINE,58.16,16,1195.3,149,234.6
EARTHQUAKE,HIGH,5701,14,FOOD,5040.58,10,46534.7,18499,26341.0
EPIDEMIC,HIGH,10509,9,WATER,56505.29,3,210398.5,178757,304882.6
EARTHQUAKE,MEDIUM,4883,25,BABY_SUPPLIES,28.11,2,52.8,669,865.6
CYCLONE,CRITICAL,16787,8,MEDICINE,260.32,5,1123.9,870,1010.5
CYCLONE,MEDIUM,10936,16,FOOD,8391.32,9,57806.9,65347,64430.9
FLOOD,CRITICAL,12393,27,FIRST_AID_KITS,83.45,17,1499.9,585,1008.5
EARTHQUAKE,MEDIUM,6292,32,CLOTHING,80.38,4,231.1,1461,2519.1
FLOOD,CRITICAL,15452,8,CLOTHING,281.77,4,1321.0,621,1224.0
CYCLONE,LOW,5288,29,FOOD,3616.66,2,8820.4,86665,124561.5
FIRE,CRITICAL,16705,7,BABY_SUPPLIES,141.56,0,154.1,826,907.4
DROUGHT,MEDIUM,12087,22,WATER,46933.61,8,316408.1,723797,669733.8
FLOOD,HIGH,2589,13,CLOTHING,43.48,6,243.3,151,329.2
LANDSLIDE,MEDIUM,15158,8,BABY_SUPPLIES,94.46,5,521.6,227,332.0
FIRE,MEDIUM,11290,14,MEDICINE,131.59,5,469.5,835,1253.7
CYCLONE,MEDIUM,15513,20,WATER,56680.27,15,667724.6,387114,373856.8
FLOOD,HIGH,15727,6,WATER,61700.59,5,309198.3,44820,74209.4
EARTHQUAKE,MEDIUM,10793,39,WATER,37680.01,32,1190508.7,345001,323508.2
FIRE,LOW,796,26,BLANKETS,18.81,4,59.5,434,456.4
FLOOD,MEDIUM,10088,33,FOOD,7974.23,21,210300.7,108117,108349.5
FLOOD,CRITICAL,17926,25,WATER,114424.5,2,166587.6,1775560,2983117.6
DROUGHT,CRITICAL,1490,8,HYGIENE_KITS,25.54,5,162.6,30,72.5
LANDSLIDE,HIGH,15280,6,BABY_SUPPLIES,118.83,5,626.9,61,129.5
DROUGHT,CRITICAL,17466,27,HYGIENE_KITS,314.68,12,4233.6,4098,3951.9
LANDSLIDE,HIGH,4809,39,CLOTHING,62.77,19,1157.2,845,1219.7
DROUGHT,MEDIUM,4358,27,HYGIENE_KITS,63.12,7,325.9,1005,1243.3
DROUGHT,MEDIUM,266,7,WATER,935.63,5,4756.7,790,1814.9
EARTHQUAKE,LOW,957,29,BLANKETS,17.67,21,406.3,165,224.6
DROUGHT,CRITICAL,3851,12,BLANKETS,133.1,3,458.3,750,1111.5
DROUGHT,MEDIUM,17981,17,FOOD,14320.57,7,111208.1,133711,143399.6
FLOOD,MEDIUM,3062,28,FIRST_AID_KITS,12.77,5,63.6,275,400.2
LANDSLIDE,LOW,14561,45,FOOD,9656.69,38,275533.0,35065,65742.8
EARTHQUAKE,MEDIUM,19602,21,FOOD,13814.43,5,70577.4,267441,324218.5
FLOOD,HIGH,6039,36,BLANKETS,150.27,3,504.9,3302,5991.5
LANDSLIDE,LOW,11092,15,FIRST_AID_KITS,54.47,5,250.1,613,688.0
EPIDEMIC,HIGH,8819,8,WATER,44035.77,7,335779.7,26447,39538.4
FLOOD,HIGH,4642,34,BABY_SUPPLIES,41.2,2,62.9,763,1592.5
DROUGHT,HIGH,2970,12,WATER,11798.95,2,24584.0,65035,124749.3
FIRE,CRITICAL,17470,25,BABY_SUPPLIES,187.83,17,3005.7,1383,1401.6
FLOOD,HIGH,15905,28,MEDICINE,220.74,2,524.9,6454,7225.7
FLOOD,MEDIUM,10108,5,BLANKETS,224.1,2,546.2,375,697.1
EARTHQUAKE,LOW,7157,13,FIRST_AID_KITS,31.85,0,29.4,249,517.4
CYCLONE,MEDIUM,11508,22,FIRST_AID_KITS,65.16,10,699.5,795,972.5
CYCLONE,HIGH,212,43,HYGIENE_KITS,3.68,26,100.8,31,76.6
EARTHQUAKE,MEDIUM,14012,39,HYGIENE_KITS,196.61,14,2192.6,5025,6665.3
FLOOD,CRITICAL,14999,43,FIRST_AID_KITS,97.44,9,616.1,3057,3629.6
CYCLONE,MEDIUM,12190,16,BLANKETS,342.08,10,4392.1,1721,2326.1
FIRE,HIGH,935,14,HYGIENE_KITS,13.91,8,81.4,62,88.4
EARTHQUAKE,LOW,19581,15,WATER,62119.59,2,112667.5,729539,1001230.8
FLOOD,LOW,6838,38,BABY_SUPPLIES,42.61,5,166.6,1553,1712.3
CYCLONE,MEDIUM,4268,39,MEDICINE,62.68,1,72.6,1793,3129.6
EPIDEMIC,MEDIUM,3130,26,HYGIENE_KITS,37.89,17,646.5,151,368.8
DROUGHT,HIGH,3148,39,FOOD,2949.93,10,35944.4,48163,77918.4
FLOOD,MEDIUM,6932,7,CLOTHING,90.8,4,345.1,183,329.5
CYCLONE,CRITICAL,934,11,WATER,5587.4,7,47441.3,12361,25968.2
DROUGHT,MEDIUM,8375,24,CLOTHING,93.05,15,1002.0,586,868.1
EARTHQUAKE,MEDIUM,7121,26,HYGIENE_KITS,91.91,9,981.5,803,1743.9
FIRE,MEDIUM,2792,11,MEDICINE,28.89,9,267.7,42,59.1
FLOOD,MEDIUM,3230,34,WATER,11200.72,0,9870.4,350315,486456.4
EPIDEMIC,MEDIUM,8993,30,FOOD,6309.37,2,11863.2,78181,154238.4
CYCLONE,HIGH,5803,45,CLOTHING,77.28,4,334.3,3123,3688.4
DROUGHT,CRITICAL,308,40,WATER,2017.55,7,17828.9,48623,65185.7
CYCLONE,HIGH,2798,14,MEDICINE,45.92,11,457.3,149,181.7
EARTHQUAKE,HIGH,5903,21,WATER,29139.46,1,35773.4,392494,708844.4
FLOOD,HIGH,9122,26,FOOD,8289.01,14,112928.9,66004,98569.2
EARTHQUAKE,CRITICAL,15077,14,MEDICINE,266.05,5,1383.7,3019,2820.8
LANDSLIDE,MEDIUM,677,15,FIRST_AID_KITS,3.7,11,34.5,17,16.8
EPIDEMIC,MEDIUM,6567,6,BABY_SUPPLIES,43.14,0,45.2,131,273.2
LANDSLIDE,HIGH,14251,7,FIRST_AID_KITS,74.81,5,330.0,123,171.9
CYCLONE,HIGH,14130,21,BLANKETS,418.36,0,490.5,6645,11149.5
EARTHQUAKE,HIGH,1353,36,HYGIENE_KITS,19.11,3,51.8,981,942.8
EPIDEMIC,LOW,10606,37,FOOD,7154.8,10,69255.5,89459,197671.5
FIRE,MEDIUM,13068,41,CLOTHING,148.75,25,3441.2,2530,2562.8
LANDSLIDE,HIGH,8998,39,HYGIENE_KITS,117.1,11,1413.5,2622,3613.8
DROUGHT,MEDIUM,19755,31,MEDICINE,224.64,25,5464.4,1132,1127.7
FIRE,HIGH,17032,15,WATER,78878.77,7,652955.5,461193,643901.0
DROUGHT,CRITICAL,6728,39,FOOD,6532.46,0,6762.0,219096,221010.8
FLOOD,HIGH,14510,28,HYGIENE_KITS,250.87,21,5977.5,1118,2184.5
DROUGHT,MEDIUM,16877,26,CLOTHING,235.58,6,1193.6,4713,4399.9
FIRE,CRITICAL,850,14,CLOTHING,15.63,1,11.1,209,196.1
CYCLONE,HIGH,7094,38,BABY_SUPPLIES,54.23,5,226.8,969,2119.5
LANDSLIDE,HIGH,6809,28,BABY_SUPPLIES,56.25,20,917.2,345,427.0
FIRE,CRITICAL,8668,14,MEDICINE,158.28,4,598.1,773,1590.6
FLOOD,LOW,6087,40,MEDICINE,63.75,9,437.1,2391,2375.9
DROUGHT,HIGH,7910,35,BABY_SUPPLIES,52.35,28,1688.6,206,386.0
CYCLONE,MEDIUM,13970,13,WATER,57437.76,4,206478.9,461211,566766.3
EARTHQUAKE,LOW,18210,21,WATER,57368.4,11,798094.6,452544,764629.1
FLOOD,CRITICAL,2052,29,FOOD,2691.75,11,25955.3,51155,50142.6
EPIDEMIC,MEDIUM,12050,26,MEDICINE,177.81,8,1490.1,1754,2984.3
DROUGHT,HIGH,8708,14,FOOD,7001.78,3,18374.6,74269,73057.2
EARTHQUAKE,CRITICAL,17607,29,FOOD,22443.18,23,488327.9,167035,156357.2
FIRE,CRITICAL,9434,32,FOOD,9176.19,27,289252.3,30937,42354.5
FLOOD,CRITICAL,10250,20,WATER,50857.43,11,497613.9,481099,516761.7
FIRE,HIGH,15313,36,BABY_SUPPLIES,96.73,0,124.0,1502,3371.6
CYCLONE,CRITICAL,17274,15,FOOD,17663.01,12,240660.3,57249,66828.0
LANDSLIDE,LOW,12227,11,BLANKETS,249.47,0,204.1,1611,2961.8
